# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-Go/MR-14         	      10	    419683 ns/op	 312.31 MB/s	         2.353 ratio	 1230870 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/MR-14     	      10	    336067 ns/op	 390.02 MB/s	         2.353 ratio	 1230881 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MR-14   	      10	    186792 ns/op	 701.70 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MR-14         	      10	    257025 ns/op	 509.96 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MR-14                   	      10	    367042 ns/op	 357.10 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MR-14                	      10	    281683 ns/op	 465.32 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MR-14                   	      10	    532558 ns/op	 246.12 MB/s	         2.379 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MR-14                  	      10	   1053638 ns/op	 124.40 MB/s	         2.523 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MR-14                  	      10	    354800 ns/op	 369.43 MB/s	         2.325 ratio	 1880716 B/op	      24 allocs/op
BenchmarkAllCodecs/PICS-C-2/MR-14                	      10	    197667 ns/op	 663.10 MB/s	         2.325 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MR-14                  	      10	    372142 ns/op	 352.21 MB/s	         2.284 ratio	 3480996 B/op	      50 allocs/op
BenchmarkAllCodecs/PICS-C-4/MR-14                	      10	    146654 ns/op	 893.75 MB/s	         2.284 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MR-14                  	      10	    436675 ns/op	 300.16 MB/s	         2.214 ratio	 6156645 B/op	      96 allocs/op
BenchmarkAllCodecs/PICS-C-8/MR-14                	      10	    186846 ns/op	 701.50 MB/s	         2.214 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT-14                  	      10	   2312554 ns/op	 226.71 MB/s	         2.237 ratio	 3629057 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/CT-14              	      10	   1750925 ns/op	 299.43 MB/s	         2.237 ratio	 3629056 B/op	      10 allocs/op
