# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkMICCDeltaZstdDecomp/MR/MIC-4state-C-14         	      10	    287500 ns/op	 455.90 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MR/Zstd-19-14              	      10	    395421 ns/op	 331.47 MB/s	         1.946 ratio	  131073 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/CT/MIC-4state-C-14         	      10	   1158604 ns/op	 452.52 MB/s	         2.237 ratio	  524845 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/CT/Zstd-19-14              	      10	   1109925 ns/op	 472.36 MB/s	         2.049 ratio	  524288 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/CR/MIC-4state-C-14         	      10	  11946958 ns/op	 630.52 MB/s	         3.693 ratio	 7536651 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/CR/Zstd-19-14              	      10	  13351383 ns/op	 564.20 MB/s	         3.241 ratio	 7536640 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/XR/MIC-4state-C-14         	      10	  16731317 ns/op	 630.88 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/XR/Zstd-19-14              	      10	  18459162 ns/op	 571.82 MB/s	         1.434 ratio	10559488 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG1/MIC-4state-C-14        	      10	  11774750 ns/op	 833.00 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG1/Zstd-19-14             	      10	  14204562 ns/op	 690.51 MB/s	         7.200 ratio	 9814016 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG2/MIC-4state-C-14        	      10	  12017638 ns/op	 816.16 MB/s	         8.773 ratio	 9814016 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG2/Zstd-19-14             	      10	  14346238 ns/op	 683.69 MB/s	         7.206 ratio	 9814016 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG3/MIC-4state-C-14        	      10	  46599492 ns/op	 627.80 MB/s	         2.289 ratio	29261824 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG3/Zstd-19-14             	      10	  61888579 ns/op	 472.71 MB/s	         2.090 ratio	29261825 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG4/MIC-4state-C-14        	      10	  35322396 ns/op	 771.83 MB/s	         3.473 ratio	27262976 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/MG4/Zstd-19-14             	      10	  46933812 ns/op	 580.88 MB/s	         3.104 ratio	27262976 B/op	       1 allocs/op
BenchmarkMICCDeltaZstdDecomp/CT1/MIC-4state-C-14        	      10	    977854 ns/op	 536.16 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
