# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkHTJ2KFairDecomp/MIC/MR-14         	      10	    757362 ns/op	 173.06 MB/s	         0.1250 orig-MB	         2.353 ratio	 1230870 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR-14       	      10	    604450 ns/op	 216.85 MB/s	         0.1250 orig-MB	         2.379 ratio	  131072 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT-14         	      10	   3078250 ns/op	 170.32 MB/s	         0.5000 orig-MB	         2.237 ratio	 3629080 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT-14       	      10	   1627712 ns/op	 322.10 MB/s	         0.5000 orig-MB	         1.771 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CR-14         	      10	  20278479 ns/op	 371.47 MB/s	         7.184 orig-MB	         3.693 ratio	39212059 B/op	      13 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CR-14       	      10	  20768429 ns/op	 362.70 MB/s	         7.184 orig-MB	         3.770 ratio	 7536640 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/XR-14         	      10	  28173400 ns/op	 374.66 MB/s	        10.07 orig-MB	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/XR-14       	      10	  29359117 ns/op	 359.53 MB/s	        10.07 orig-MB	         1.670 ratio	10559488 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG1-14        	      10	  16963954 ns/op	 578.19 MB/s	         9.354 orig-MB	         8.786 ratio	23221248 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG1-14      	      10	  14554879 ns/op	 673.89 MB/s	         9.354 orig-MB	         8.251 ratio	 9814016 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG2-14        	      10	  17403312 ns/op	 563.59 MB/s	         9.354 orig-MB	         8.774 ratio	23221259 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG2-14      	      10	  14518633 ns/op	 675.57 MB/s	         9.354 orig-MB	         8.239 ratio	 9814016 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG3-14        	      10	  75664175 ns/op	 377.73 MB/s	        27.26 orig-MB	         2.237 ratio	134926336 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG3-14      	      10	  80227825 ns/op	 356.25 MB/s	        27.26 orig-MB	         2.223 ratio	29261824 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG4-14        	      10	  54713854 ns/op	 498.28 MB/s	        26.00 orig-MB	         3.474 ratio	73297920 B/op	      10 allocs/op
