# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkJPEGLSDecomp/MR/MIC-14         	      10	    424454 ns/op	 308.80 MB/s	 1230883 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/MR/MIC-4state-14  	      10	    337421 ns/op	 388.45 MB/s	 1230892 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/MR/MIC-4state-C-14         	      10	    193271 ns/op	 678.18 MB/s	  131072 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR/MIC-4state-SIMD-14      	      10	    195996 ns/op	 668.75 MB/s	  131072 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MR/JPEGLS-14               	      10	    796758 ns/op	 164.51 MB/s	  131072 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-14                  	      10	   2308617 ns/op	 227.10 MB/s	 3629068 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-4state-14           	      10	   1820196 ns/op	 288.04 MB/s	 3629056 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-4state-C-14         	      10	   1156012 ns/op	 453.53 MB/s	  524289 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT/MIC-4state-SIMD-14      	      10	   1159375 ns/op	 452.22 MB/s	  524288 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT/JPEGLS-14               	      10	   2997500 ns/op	 174.91 MB/s	  524845 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-14                  	      10	  20629029 ns/op	 365.16 MB/s	39212035 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-4state-14           	      10	  18146983 ns/op	 415.10 MB/s	39212065 B/op	      13 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-4state-C-14         	      10	  11688583 ns/op	 644.46 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CR/MIC-4state-SIMD-14      	      10	  11644638 ns/op	 646.89 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CR/JPEGLS-14               	      10	  36484092 ns/op	 206.47 MB/s	 7536640 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-14                  	      10	  27637550 ns/op	 381.92 MB/s	46346240 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-4state-14           	      10	  25514504 ns/op	 413.70 MB/s	46346251 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-4state-C-14         	      10	  16156996 ns/op	 653.30 MB/s	10559488 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XR/MIC-4state-SIMD-14      	      10	  16260221 ns/op	 649.15 MB/s	10559488 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/XR/JPEGLS-14               	      10	  72546925 ns/op	 145.50 MB/s	10559488 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-14                 	      10	  17265104 ns/op	 568.10 MB/s	23221259 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-4state-14          	      10	  16074304 ns/op	 610.19 MB/s	23221248 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-4state-C-14        	      10	  11225646 ns/op	 873.74 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG1/MIC-4state-SIMD-14     	      10	  11186117 ns/op	 876.83 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG1/JPEGLS-14              	      10	  18155388 ns/op	 540.24 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-14                 	      10	  17566354 ns/op	 558.36 MB/s	23221248 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-4state-14          	      10	  16123050 ns/op	 608.34 MB/s	23221248 B/op	      12 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-4state-C-14        	      10	  11385633 ns/op	 861.47 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG2/MIC-4state-SIMD-14     	      10	  11376983 ns/op	 862.12 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG2/JPEGLS-14              	      10	  18187254 ns/op	 539.30 MB/s	 9814016 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-14                 	      10	  75307954 ns/op	 388.47 MB/s	134926336 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-4state-14          	      10	  67999004 ns/op	 430.23 MB/s	134959137 B/op	      11 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-4state-C-14        	      10	  45037021 ns/op	 649.58 MB/s	29261825 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG3/MIC-4state-SIMD-14     	      10	  44367104 ns/op	 659.39 MB/s	29261824 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG3/JPEGLS-14              	      10	 145331342 ns/op	 201.30 MB/s	29261824 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-14                 	      10	  54597300 ns/op	 499.35 MB/s	73297920 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-4state-14          	      10	  51352908 ns/op	 530.89 MB/s	73297920 B/op	      10 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-4state-C-14        	      10	  35041746 ns/op	 778.01 MB/s	27262976 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG4/MIC-4state-SIMD-14     	      10	  34953946 ns/op	 779.97 MB/s	27262976 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/MG4/JPEGLS-14              	      10	 107541279 ns/op	 253.51 MB/s	27262976 B/op	       1 allocs/op
BenchmarkJPEGLSDecomp/CT1/MIC-14                 	      10	   1831633 ns/op	 286.24 MB/s	 2727936 B/op	       9 allocs/op
BenchmarkJPEGLSDecomp/CT1/MIC-4state-14          	      10	   1528508 ns/op	 343.01 MB/s	 2727947 B/op	       9 allocs/op
