# mic/ojph [mic/ojph.test]
mic_decompress_c.c:22:44: warning: excess elements in array initializer [-Wexcess-initializers]
# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-Go/MR-14         	      10	    448162 ns/op	 292.47 MB/s	         2.353 ratio	 1231428 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/MR-14     	      10	    361279 ns/op	 362.80 MB/s	         2.353 ratio	 1230892 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-8state/MR-14     	      10	    438871 ns/op	 298.66 MB/s	         2.352 ratio	 1230872 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MR-14   	      10	    247371 ns/op	 529.86 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MR-14         	      10	    234250 ns/op	 559.54 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MR-14            	      10	    201854 ns/op	 649.34 MB/s	         2.352 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MR-14         	      10	    198225 ns/op	 661.23 MB/s	         2.352 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MR-14                   	      10	    264479 ns/op	 495.59 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MR-14                	      10	    267308 ns/op	 490.34 MB/s	         2.353 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MR-14                   	      10	    399696 ns/op	 327.93 MB/s	         2.379 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MR-14                  	      10	    959192 ns/op	 136.65 MB/s	         2.523 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MR-14                  	      10	    320362 ns/op	 409.14 MB/s	         2.325 ratio	 1880579 B/op	      24 allocs/op
BenchmarkAllCodecs/PICS-C-2/MR-14                	      10	    187725 ns/op	 698.21 MB/s	         2.325 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MR-14                  	      10	    357338 ns/op	 366.80 MB/s	         2.284 ratio	 3481423 B/op	      50 allocs/op
BenchmarkAllCodecs/PICS-C-4/MR-14                	      10	    139617 ns/op	 938.80 MB/s	         2.284 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MR-14                  	      10	    416217 ns/op	 314.91 MB/s	         2.214 ratio	 6156476 B/op	      96 allocs/op
BenchmarkAllCodecs/PICS-C-8/MR-14                	      10	    126871 ns/op	1033.11 MB/s	         2.214 ratio	  131072 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT-14                  	      10	   2474896 ns/op	 211.84 MB/s	         2.237 ratio	 3629056 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/CT-14              	      10	   1944033 ns/op	 269.69 MB/s	         2.237 ratio	 3629056 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-8state/CT-14              	      10	   1704083 ns/op	 307.67 MB/s	         2.237 ratio	 3629056 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT-14            	      10	   1326854 ns/op	 395.14 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT-14         	      10	   1248671 ns/op	 419.88 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CT-14            	      10	   1058704 ns/op	 495.22 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CT-14         	      10	   1028517 ns/op	 509.75 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT-14                   	      10	   1779604 ns/op	 294.61 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT-14                	      10	   1790112 ns/op	 292.88 MB/s	         2.237 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT-14                   	      10	   1750883 ns/op	 299.44 MB/s	         1.771 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT-14                  	      10	   3326479 ns/op	 157.61 MB/s	         2.676 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT-14                  	      10	   1543096 ns/op	 339.76 MB/s	         2.214 ratio	 4546928 B/op	      25 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT-14                	      10	   1025583 ns/op	 511.21 MB/s	         2.214 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT-14                  	      10	   1017125 ns/op	 515.46 MB/s	         2.145 ratio	 6448369 B/op	      46 allocs/op
BenchmarkAllCodecs/PICS-C-4/CT-14                	      10	    531071 ns/op	 987.23 MB/s	         2.145 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CT-14                  	      10	    896125 ns/op	 585.06 MB/s	         1.962 ratio	10319687 B/op	      88 allocs/op
BenchmarkAllCodecs/PICS-C-8/CT-14                	      10	    338521 ns/op	1548.76 MB/s	         1.962 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CR-14                  	      10	  21739021 ns/op	 346.51 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-4state/CR-14              	      10	  19253100 ns/op	 391.25 MB/s	         3.693 ratio	39212043 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-8state/CR-14              	      10	  18807858 ns/op	 400.51 MB/s	         3.693 ratio	39212032 B/op	      13 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CR-14            	      10	  13995596 ns/op	 538.23 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CR-14         	      10	  13726679 ns/op	 548.77 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/CR-14            	      10	  12979738 ns/op	 580.35 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/CR-14         	      10	  12955350 ns/op	 581.44 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CR-14                   	      10	  15290733 ns/op	 492.64 MB/s	         3.693 ratio	 7536640 B/op	       1 allocs/op
