# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkHTJ2KFairDecomp/MIC/MR-14         	      10	    490658 ns/op	 267.13 MB/s	         0.1250 orig-MB	         2.353 ratio	 1231442 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR-14       	      10	    444100 ns/op	 295.14 MB/s	         0.1250 orig-MB	         2.379 ratio	  131072 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT-14         	      10	   2829512 ns/op	 185.29 MB/s	         0.5000 orig-MB	         2.237 ratio	 3629637 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT-14       	      10	   1733450 ns/op	 302.45 MB/s	         0.5000 orig-MB	         1.771 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CR-14         	      10	  23120362 ns/op	 325.81 MB/s	         7.184 orig-MB	         3.693 ratio	39212068 B/op	      13 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CR-14       	      10	  23589017 ns/op	 319.34 MB/s	         7.184 orig-MB	         3.770 ratio	 7536640 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/XR-14         	      10	  31460229 ns/op	 335.52 MB/s	        10.07 orig-MB	         1.738 ratio	46346252 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/XR-14       	      10	  33127179 ns/op	 318.63 MB/s	        10.07 orig-MB	         1.670 ratio	10559488 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG1-14        	      10	  19225392 ns/op	 510.18 MB/s	         9.354 orig-MB	         8.786 ratio	23221259 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG1-14      	      10	  16757242 ns/op	 585.32 MB/s	         9.354 orig-MB	         8.251 ratio	 9814027 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG2-14        	      10	  19460108 ns/op	 504.02 MB/s	         9.354 orig-MB	         8.774 ratio	23221248 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG2-14      	      10	  16451871 ns/op	 596.18 MB/s	         9.354 orig-MB	         8.239 ratio	 9814016 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG3-14        	      10	  85789662 ns/op	 333.15 MB/s	        27.26 orig-MB	         2.237 ratio	134926392 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG3-14      	      10	  91419875 ns/op	 312.63 MB/s	        27.26 orig-MB	         2.223 ratio	29261824 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG4-14        	      10	  60573362 ns/op	 450.08 MB/s	        26.00 orig-MB	         3.474 ratio	73297920 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG4-14      	      10	  56842933 ns/op	 479.62 MB/s	        26.00 orig-MB	         3.506 ratio	27262976 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT1-14        	      10	   2173608 ns/op	 241.21 MB/s	         0.5000 orig-MB	         2.789 ratio	 2727936 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT1-14      	      10	   1775183 ns/op	 295.34 MB/s	         0.5000 orig-MB	         2.704 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/CT2-14        	      10	   2015833 ns/op	 260.08 MB/s	         0.5000 orig-MB	         3.486 ratio	 2711552 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/CT2-14      	      10	   1593596 ns/op	 329.00 MB/s	         0.5000 orig-MB	         3.294 ratio	  524288 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MG-N-14       	      10	  81582096 ns/op	 350.33 MB/s	        27.26 orig-MB	         2.238 ratio	134197259 B/op	      11 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MG-N-14     	      10	  87779821 ns/op	 325.60 MB/s	        27.26 orig-MB	         2.226 ratio	28581888 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR1-14        	      10	   1793258 ns/op	 292.37 MB/s	         0.5000 orig-MB	         2.087 ratio	 2879489 B/op	      10 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR1-14      	      10	   1599850 ns/op	 327.71 MB/s	         0.5000 orig-MB	         2.126 ratio	  524856 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR2-14        	      10	   5882162 ns/op	 356.53 MB/s	         2.000 orig-MB	         3.283 ratio	10105856 B/op	      12 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR2-14      	      10	   5973650 ns/op	 351.07 MB/s	         2.000 orig-MB	         3.347 ratio	 2097152 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR3-14        	      10	   1315746 ns/op	 398.47 MB/s	         0.5000 orig-MB	         3.926 ratio	 2017280 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR3-14      	      10	   1327425 ns/op	 394.97 MB/s	         0.5000 orig-MB	         4.333 ratio	  524288 B/op	       1 allocs/op
